Feature,Functional Category,Cohort,Data Type,Magnitude,QV
NK.IFNg.pSTAT4,Diminished Sensitivity to Cytokine in NKs,HCV,Cytokine Sensitivity,-0.727553183,0.006860465
NK.IFNg.pP38,Diminished Sensitivity to Cytokine in NKs,HCV,Cytokine Sensitivity,-0.85387622,0.008428571
NK.IFNg.pIRF7,Diminished Sensitivity to Cytokine in NKs,HCV,Cytokine Sensitivity,-0.387414614,0.196666667
NK.IFNg.pERK1.2,Diminished Sensitivity to Cytokine in NKs,HCV,Cytokine Sensitivity,-0.63326434,0.015258621
NK.IFNg.pAkt,Diminished Sensitivity to Cytokine in NKs,HCV,Cytokine Sensitivity,-0.618380426,0.008428571
NK.IFNa.pERK1.2,Diminished Sensitivity to Cytokine in NKs,HCV,Cytokine Sensitivity,-0.384902382,0.159459459
Monos.IL6.STAT3,Diminished Sensitivity to Cytokine in Monos,Aging,Cytokine Sensitivity,-0.307,0.016
Monos.IL2.STAT3,Diminished Sensitivity to Cytokine in Monos,Aging,Cytokine Sensitivity,-0.195,0.184
Monos.IL10.STAT3,Diminished Sensitivity to Cytokine in Monos,Aging,Cytokine Sensitivity,-0.264,0.064
Monos.IFNg.STAT3,Diminished Sensitivity to Cytokine in Monos,Aging,Cytokine Sensitivity,-0.321,0.007
Monos.IFNg.pP38,Diminished Sensitivity to Cytokine in Monos,HCV,Cytokine Sensitivity,-0.729145177,0.008428571
Monos.IFNg.pMAPKAPK2,Diminished Sensitivity to Cytokine in Monos,HCV,Cytokine Sensitivity,-0.586508516,0.015258621
Monos.IFNg.pIRF7,Diminished Sensitivity to Cytokine in Monos,HCV,Cytokine Sensitivity,-0.55756845,0.0479375
Monos.IFNg.pERK1.2,Diminished Sensitivity to Cytokine in Monos,HCV,Cytokine Sensitivity,-0.524317032,0.045974026
Monos.IFNg.pCreb,Diminished Sensitivity to Cytokine in Monos,HCV,Cytokine Sensitivity,-0.69674108,0.008428571
Monos.IFNg.pAkt,Diminished Sensitivity to Cytokine in Monos,HCV,Cytokine Sensitivity,-0.6987968,0.008428571
Monos.IFNa.STAT5,Diminished Sensitivity to Cytokine in Monos,HIV,Cytokine Sensitivity,-0.476580069,0.192
Monos.IFNa.STAT3,Diminished Sensitivity to Cytokine in Monos,Aging,Cytokine Sensitivity,-0.276,0.038
Monos.IFNa.STAT3,Diminished Sensitivity to Cytokine in Monos,HIV,Cytokine Sensitivity,-0.511232381,0.187733333
gdT.IFNg.pSTAT4,Diminished Sensitivity to Cytokine in gdT,HCV,Cytokine Sensitivity,-0.824602561,0.008428571
gdT.IFNg.pSTAT3,Diminished Sensitivity to Cytokine in gdT,HCV,Cytokine Sensitivity,-0.626700022,0.015258621
gdT.IFNg.pP38,Diminished Sensitivity to Cytokine in gdT,HCV,Cytokine Sensitivity,-0.942774437,0.008428571
gdT.IFNg.pERK1.2,Diminished Sensitivity to Cytokine in gdT,HCV,Cytokine Sensitivity,-0.876633571,0.008428571
gdT.IFNa.pERK1.2,Diminished Sensitivity to Cytokine in gdT,HCV,Cytokine Sensitivity,-0.401022104,0.132614679
DCs.IFNg.pSTAT5,Diminished Sensitivity to Cytokine in DCs,HCV,Cytokine Sensitivity,-0.615482987,0.015258621
DCs.IFNg.pSTAT4,Diminished Sensitivity to Cytokine in DCs,HCV,Cytokine Sensitivity,-0.671384375,0.006860465
DCs.IFNg.pSTAT3,Diminished Sensitivity to Cytokinein DCs,HCV,Cytokine Sensitivity,-0.436656833,0.132336449
DCs.IFNg.pSTAT1,Diminished Sensitivity to Cytokine in DCs,HCV,Cytokine Sensitivity,-0.650792435,0.019344262
DCs.IFNg.pP38,Diminished Sensitivity to Cytokine in DCs,HCV,Cytokine Sensitivity,-0.733316257,0.008428571
DCs.IFNg.pMAPKAPK2,Diminished Sensitivity to Cytokine in DCs,HCV,Cytokine Sensitivity,-0.454317302,0.111377551
DCs.IFNg.pIRF7,Diminished Sensitivity to Cytokine in DCs,HCV,Cytokine Sensitivity,-0.499545026,0.063693182
