"","pCreb_Bcells","pCreb_gdT","pCreb_CD4T","pCreb_CD8T","pCreb_Monos","pCreb_NKs","pCreb_DCs","pSTAT5_Bcells","pSTAT5_gdT","pSTAT5_CD4T","pSTAT5_CD8T","pSTAT5_Monos","pSTAT5_NKs","pSTAT5_DCs","pAkt_Bcells","pAkt_gdT","pAkt_CD4T","pAkt_CD8T","pAkt_Monos","pAkt_NKs","pAkt_DCs","pSTAT1_Bcells","pSTAT1_gdT","pSTAT1_CD4T","pSTAT1_CD8T","pSTAT1_Monos","pSTAT1_NKs","pSTAT1_DCs","pMAPKAPK2_Bcells","pMAPKAPK2_gdT","pMAPKAPK2_CD4T","pMAPKAPK2_CD8T","pMAPKAPK2_Monos","pMAPKAPK2_NKs","pMAPKAPK2_DCs","pSTAT3_Bcells","pSTAT3_gdT","pSTAT3_CD4T","pSTAT3_CD8T","pSTAT3_Monos","pSTAT3_NKs","pSTAT3_DCs","IkBa_Bcells","IkBa_gdT","IkBa_CD4T","IkBa_CD8T","IkBa_Monos","IkBa_NKs","IkBa_DCs","pErk1.2_Bcells","pErk1.2_gdT","pErk1.2_CD4T","pErk1.2_CD8T","pErk1.2_Monos","pErk1.2_NKs","pErk1.2_DCs","pp38_Bcells","pp38_gdT","pp38_CD4T","pp38_CD8T","pp38_Monos","pp38_NKs","pp38_DCs","pS6_Bcells","pS6_gdT","pS6_CD4T","pS6_CD8T","pS6_Monos","pS6_NKs","pS6_DCs","pIRF7_Bcells","pIRF7_gdT","pIRF7_CD4T","pIRF7_CD8T","pIRF7_Monos","pIRF7_NKs","pIRF7_DCs","pSTAT4_Bcells","pSTAT4_gdT","pSTAT4_CD4T","pSTAT4_CD8T","pSTAT4_Monos","pSTAT4_NKs","pSTAT4_DCs"
"pCreb_Bcells",1,0.279120879120879,0.643956043956044,0.248351648351648,0.714285714285714,0.120879120879121,0.261538461538461,0.248351648351648,0.125274725274725,0.2,0.151648351648352,-0.010989010989011,0.134065934065934,0.186813186813187,0.142857142857143,-0.0197802197802198,0.0725274725274725,-0.0857142857142857,-0.0593406593406593,0.0989010989010989,0.217582417582418,0.252747252747253,0.186813186813187,0.173626373626374,0.147252747252747,0.151648351648352,0.151648351648352,0.494505494505494,0.718681318681319,-0.178021978021978,0.252747252747253,-0.305494505494505,0.472527472527473,-0.156043956043956,-0.0373626373626374,0.169230769230769,-0.2,0.265934065934066,0.0153846153846154,0.507692307692308,-0.142857142857143,0.279120879120879,-0.195604395604396,-0.424175824175824,-0.30989010989011,-0.375824175824176,-0.226373626373626,-0.2,0.0021978021978022,0.0857142857142857,-0.0857142857142857,0.0197802197802198,-0.191208791208791,-0.186813186813187,-0.393406593406593,-0.178021978021978,0.125274725274725,-0.217582417582418,0.257142857142857,-0.186813186813187,0.0285714285714286,-0.441758241758242,-0.296703296703297,0.832967032967033,0.243956043956044,0.674725274725275,0.542857142857143,-0.287912087912088,0.371428571428571,-0.156043956043956,-0.0725274725274725,-0.375824175824176,-0.261538461538461,-0.301098901098901,-0.595604395604396,-0.252747252747253,0.0945054945054945,-0.103296703296703,-0.375824175824176,-0.362637362637363,-0.38021978021978,-0.459340659340659,-0.27032967032967,-0.191208791208791
"pCreb_gdT",0.279120879120879,1,0.265934065934066,0.604395604395604,0.318681318681319,0.894505494505494,0.837362637362637,0.643956043956044,0.437362637362637,0.70989010989011,0.63956043956044,0.674725274725275,0.630769230769231,0.745054945054945,0.520879120879121,0.437362637362637,0.564835164835165,0.49010989010989,0.472527472527473,0.591208791208791,0.701098901098901,-0.0725274725274725,0.208791208791209,-0.116483516483516,0.248351648351648,0.208791208791209,-0.0945054945054945,0.318681318681319,0.389010989010989,0.771428571428571,0.12967032967033,0.516483516483516,0.375824175824176,0.595604395604396,0.652747252747253,0.538461538461538,0.340659340659341,-0.107692307692308,0.182417582417582,0.257142857142857,0.41978021978022,0.665934065934066,0.191208791208791,0.142857142857143,0.151648351648352,0.151648351648352,0.147252747252747,0.178021978021978,0.432967032967033,0.0285714285714286,0.305494505494505,-0.0637362637362637,0.0593406593406593,0.221978021978022,0.156043956043956,0.402197802197802,0.564835164835165,0.503296703296703,0.323076923076923,0.49010989010989,-0.0373626373626374,0.0549450549450549,0.252747252747253,0.2,0.775824175824176,0.375824175824176,0.538461538461538,0.292307692307692,0.745054945054945,0.679120879120879,0.608791208791209,0.556043956043956,0.520879120879121,0.56043956043956,0.402197802197802,0.52967032967033,0.784615384615385,0.481318681318681,0.402197802197802,0.287912087912088,0.331868131868132,0.38021978021978,0.410989010989011,0.525274725274725
"pCreb_CD4T",0.643956043956044,0.265934065934066,1,0.665934065934066,0.472527472527473,0.0417582417582418,0.226373626373626,-0.0945054945054945,-0.191208791208791,0.103296703296703,-0.032967032967033,-0.103296703296703,-0.0725274725274725,-0.00659340659340659,-0.261538461538461,-0.336263736263736,-0.0637362637362637,-0.257142857142857,-0.283516483516484,-0.16043956043956,-0.0769230769230769,0.0637362637362637,0.578021978021978,0.402197802197802,0.450549450549451,0.542857142857143,0.27032967032967,0.630769230769231,0.507692307692308,0.0153846153846154,0.705494505494506,0.0813186813186813,0.525274725274725,-0.221978021978022,-0.0373626373626374,-0.116483516483516,-0.41978021978022,0.178021978021978,-0.0241758241758242,0.23956043956044,-0.358241758241758,-0.0461538461538462,0.0021978021978022,-0.16043956043956,0.204395604395604,0.142857142857143,-0.107692307692308,-0.151648351648352,0.120879120879121,-0.265934065934066,-0.252747252747253,-0.0593406593406593,-0.367032967032967,-0.459340659340659,-0.608791208791209,-0.41978021978022,-0.191208791208791,-0.323076923076923,0.221978021978022,-0.327472527472527,-0.0769230769230769,-0.665934065934066,-0.512087912087912,0.837362637362637,0.503296703296703,0.96043956043956,0.898901098901099,-0.353846153846154,0.516483516483516,0.103296703296703,-0.142857142857143,-0.30989010989011,-0.30989010989011,-0.30989010989011,-0.463736263736264,-0.305494505494505,0.243956043956044,-0.384615384615385,-0.450549450549451,-0.49010989010989,-0.498901098901099,-0.551648351648352,-0.30989010989011,-0.353846153846154
"pCreb_CD8T",0.248351648351648,0.604395604395604,0.665934065934066,1,0.432967032967033,0.551648351648352,0.547252747252747,0.217582417582418,0.00659340659340659,0.424175824175824,0.292307692307692,0.41978021978022,0.252747252747253,0.358241758241758,0.0989010989010989,0.0417582417582418,0.30989010989011,0.204395604395604,0.16043956043956,0.274725274725275,0.287912087912088,0.138461538461538,0.608791208791209,0.318681318681319,0.498901098901099,0.556043956043956,0.27032967032967,0.56043956043956,0.287912087912088,0.534065934065934,0.591208791208791,0.621978021978022,0.516483516483516,0.30989010989011,0.327472527472527,0.243956043956044,0.116483516483516,0.0813186813186813,0.243956043956044,0.367032967032967,0.186813186813187,0.274725274725275,0.147252747252747,0.0417582417582418,0.38021978021978,0.410989010989011,0.00659340659340659,0.0857142857142857,0.243956043956044,-0.235164835164835,0.112087912087912,-0.0461538461538462,-0.0549450549450549,-0.0417582417582418,-0.0945054945054945,0.0549450549450549,0.191208791208791,0.230769230769231,0.265934065934066,0.208791208791209,0.0769230769230769,-0.164835164835165,-0.0593406593406593,0.397802197802198,0.617582417582418,0.626373626373626,0.802197802197802,0.0241758241758242,0.542857142857143,0.494505494505494,0.323076923076923,0.248351648351648,0.204395604395604,0.221978021978022,0.134065934065934,0.208791208791209,0.525274725274725,0.134065934065934,0.213186813186813,0.12967032967033,0.147252747252747,0.125274725274725,0.393406593406593,0.186813186813187
"pCreb_Monos",0.714285714285714,0.318681318681319,0.472527472527473,0.432967032967033,1,0.156043956043956,0.345054945054945,0.186813186813187,-0.0241758241758242,0.147252747252747,0.0989010989010989,0.164835164835165,-0.0021978021978022,0.0505494505494506,0.27032967032967,0.0901098901098901,0.186813186813187,0.169230769230769,0.120879120879121,0.2,0.173626373626374,0.503296703296703,0.186813186813187,0.0901098901098901,0.182417582417582,0.213186813186813,0.243956043956044,0.283516483516484,0.463736263736264,-0.0549450549450549,0.178021978021978,-0.112087912087912,0.613186813186813,-0.23956043956044,0.134065934065934,0.410989010989011,0.134065934065934,0.371428571428571,0.226373626373626,0.740659340659341,0.125274725274725,0.468131868131868,0.0593406593406593,-0.138461538461538,-0.032967032967033,-0.0197802197802198,-0.0417582417582418,-0.0153846153846154,-0.125274725274725,0.173626373626374,0.243956043956044,0.186813186813187,0.116483516483516,0.178021978021978,-0.0945054945054945,0.0241758241758242,0.353846153846154,0.169230769230769,0.393406593406593,0.147252747252747,0.428571428571429,-0.213186813186813,-0.0021978021978022,0.569230769230769,0.16043956043956,0.432967032967033,0.397802197802198,0.195604395604396,0.120879120879121,0.226373626373626,0.125274725274725,-0.120879120879121,-0.010989010989011,-0.0021978021978022,-0.169230769230769,-0.156043956043956,0.032967032967033,-0.0021978021978022,-0.0285714285714286,-0.0725274725274725,-0.0153846153846154,0.010989010989011,0.120879120879121,-0.116483516483516
"pCreb_NKs",0.120879120879121,0.894505494505494,0.0417582417582418,0.551648351648352,0.156043956043956,1,0.810989010989011,0.687912087912088,0.463736263736264,0.701098901098901,0.692307692307692,0.815384615384615,0.727472527472527,0.81978021978022,0.556043956043956,0.507692307692308,0.586813186813187,0.542857142857143,0.564835164835165,0.679120879120879,0.767032967032967,0.0505494505494506,0.248351648351648,0.0373626373626374,0.292307692307692,0.2,0.0373626373626374,0.283516483516484,0.305494505494505,0.841758241758242,0.134065934065934,0.683516483516484,0.178021978021978,0.837362637362637,0.692307692307692,0.591208791208791,0.556043956043956,-0.0153846153846154,0.384615384615385,0.208791208791209,0.657142857142857,0.67032967032967,0.265934065934066,0.2,0.186813186813187,0.195604395604396,0.235164835164835,0.279120879120879,0.410989010989011,0.00659340659340659,0.323076923076923,-0.103296703296703,0.134065934065934,0.27032967032967,0.327472527472527,0.516483516483516,0.674725274725275,0.6,0.274725274725275,0.626373626373626,-0.120879120879121,0.305494505494505,0.362637362637363,-0.00659340659340659,0.661538461538462,0.12967032967033,0.353846153846154,0.318681318681319,0.657142857142857,0.573626373626374,0.705494505494506,0.687912087912088,0.630769230769231,0.635164835164835,0.520879120879121,0.731868131868132,0.731868131868132,0.617582417582418,0.630769230769231,0.538461538461538,0.573626373626374,0.525274725274725,0.674725274725275,0.648351648351648
"pCreb_DCs",0.261538461538461,0.837362637362637,0.226373626373626,0.547252747252747,0.345054945054945,0.810989010989011,1,0.38021978021978,0.0637362637362637,0.384615384615385,0.323076923076923,0.468131868131868,0.336263736263736,0.507692307692308,0.375824175824176,0.186813186813187,0.371428571428571,0.318681318681319,0.274725274725275,0.410989010989011,0.525274725274725,0.116483516483516,0.12967032967033,0.164835164835165,0.226373626373626,0.0901098901098901,0.0549450549450549,0.204395604395604,0.226373626373626,0.569230769230769,0.186813186813187,0.402197802197802,0.432967032967033,0.481318681318681,0.868131868131868,0.512087912087912,0.345054945054945,0.248351648351648,0.362637362637363,0.27032967032967,0.534065934065934,0.775824175824176,0.279120879120879,0.261538461538461,0.2,0.103296703296703,0.0549450549450549,0.116483516483516,0.0857142857142857,0.142857142857143,0.432967032967033,0.0989010989010989,0.0989010989010989,0.27032967032967,0.191208791208791,0.534065934065934,0.446153846153846,0.384615384615385,0.204395604395604,0.367032967032967,-0.0417582417582418,0.0021978021978022,0.49010989010989,0.134065934065934,0.582417582417582,0.375824175824176,0.52967032967033,0.463736263736264,0.538461538461538,0.696703296703297,0.696703296703297,0.626373626373626,0.70989010989011,0.687912087912088,0.424175824175824,0.6,0.723076923076923,0.301098901098901,0.437362637362637,0.38021978021978,0.432967032967033,0.252747252747253,0.556043956043956,0.450549450549451
"pSTAT5_Bcells",0.248351648351648,0.643956043956044,-0.0945054945054945,0.217582417582418,0.186813186813187,0.687912087912088,0.38021978021978,1,0.912087912087912,0.916483516483517,0.956043956043956,0.810989010989011,0.912087912087912,0.89010989010989,0.885714285714286,0.898901098901099,0.854945054945055,0.81978021978022,0.89010989010989,0.920879120879121,0.964835164835165,0.178021978021978,0.0769230769230769,-0.323076923076923,0.032967032967033,0.0197802197802198,-0.107692307692308,0.252747252747253,0.41978021978022,0.551648351648352,-0.178021978021978,0.30989010989011,0.178021978021978,0.665934065934066,0.248351648351648,0.718681318681319,0.556043956043956,-0.349450549450549,0.195604395604396,0.428571428571429,0.476923076923077,0.648351648351648,-0.0373626373626374,-0.292307692307692,-0.226373626373626,-0.138461538461538,0.182417582417582,0.569230769230769,0.538461538461538,0.287912087912088,0.261538461538461,0.0417582417582418,0.323076923076923,0.345054945054945,0.437362637362637,0.503296703296703,0.749450549450549,0.701098901098901,0.556043956043956,0.745054945054945,0.0681318681318681,0.41978021978022,0.164835164835165,-0.0197802197802198,0.393406593406593,-0.0153846153846154,0.103296703296703,0.0373626373626374,0.428571428571429,0.30989010989011,0.265934065934066,0.213186813186813,0.173626373626374,0.2,0.178021978021978,0.340659340659341,0.353846153846154,0.89010989010989,0.516483516483516,0.38021978021978,0.397802197802198,0.547252747252747,0.384615384615385,0.740659340659341
"pSTAT5_gdT",0.125274725274725,0.437362637362637,-0.191208791208791,0.00659340659340659,-0.0241758241758242,0.463736263736264,0.0637362637362637,0.912087912087912,1,0.868131868131868,0.912087912087912,0.665934065934066,0.850549450549451,0.771428571428571,0.762637362637363,0.868131868131868,0.762637362637363,0.705494505494506,0.793406593406593,0.797802197802198,0.828571428571429,0.0637362637362637,0.0241758241758242,-0.41978021978022,-0.0989010989010989,-0.0285714285714286,-0.221978021978022,0.138461538461538,0.345054945054945,0.397802197802198,-0.323076923076923,0.138461538461538,0.0285714285714286,0.556043956043956,-0.0549450549450549,0.547252747252747,0.446153846153846,-0.538461538461538,-0.0373626373626374,0.217582417582418,0.323076923076923,0.358241758241758,-0.204395604395604,-0.318681318681319,-0.358241758241758,-0.283516483516484,0.103296703296703,0.512087912087912,0.52967032967033,0.30989010989011,0.217582417582418,0.0857142857142857,0.375824175824176,0.327472527472527,0.454945054945055,0.389010989010989,0.613186813186813,0.604395604395604,0.498901098901099,0.657142857142857,0.125274725274725,0.512087912087912,0.0769230769230769,-0.107692307692308,0.296703296703297,-0.134065934065934,-0.0505494505494506,-0.0681318681318681,0.402197802197802,0.12967032967033,0.112087912087912,0.0857142857142857,0.0153846153846154,0.0373626373626374,0.0989010989010989,0.169230769230769,0.120879120879121,0.837362637362637,0.371428571428571,0.296703296703297,0.261538461538461,0.454945054945055,0.138461538461538,0.608791208791209
"pSTAT5_CD4T",0.2,0.70989010989011,0.103296703296703,0.424175824175824,0.147252747252747,0.701098901098901,0.384615384615385,0.916483516483517,0.868131868131868,1,0.973626373626374,0.793406593406593,0.912087912087912,0.881318681318681,0.753846153846154,0.806593406593407,0.872527472527473,0.78021978021978,0.815384615384615,0.881318681318681,0.885714285714286,0.0417582417582418,0.217582417582418,-0.221978021978022,0.164835164835165,0.156043956043956,-0.0637362637362637,0.274725274725275,0.424175824175824,0.665934065934066,-0.0725274725274725,0.41978021978022,0.292307692307692,0.679120879120879,0.169230769230769,0.661538461538462,0.476923076923077,-0.362637362637363,0.191208791208791,0.305494505494505,0.41978021978022,0.485714285714286,-0.12967032967033,-0.252747252747253,-0.12967032967033,-0.0505494505494506,0.0681318681318681,0.547252747252747,0.542857142857143,0.12967032967033,0.230769230769231,0.010989010989011,0.27032967032967,0.235164835164835,0.331868131868132,0.367032967032967,0.613186813186813,0.679120879120879,0.582417582417582,0.701098901098901,0.0637362637362637,0.345054945054945,0.0549450549450549,0.112087912087912,0.635164835164835,0.173626373626374,0.331868131868132,0.0461538461538462,0.630769230769231,0.428571428571429,0.252747252747253,0.243956043956044,0.178021978021978,0.191208791208791,0.217582417582418,0.331868131868132,0.367032967032967,0.78021978021978,0.446153846153846,0.327472527472527,0.327472527472527,0.450549450549451,0.30989010989011,0.630769230769231
