"","pCreb_Bcells","pCreb_gdT","pCreb_CD4T","pCreb_CD8T","pCreb_Monos","pCreb_NKs","pCreb_DCs","pSTAT5_Bcells","pSTAT5_gdT","pSTAT5_CD4T","pSTAT5_CD8T","pSTAT5_Monos","pSTAT5_NKs","pSTAT5_DCs","pAkt_Bcells","pAkt_gdT","pAkt_CD4T","pAkt_CD8T","pAkt_Monos","pAkt_NKs","pAkt_DCs","pSTAT1_Bcells","pSTAT1_gdT","pSTAT1_CD4T","pSTAT1_CD8T","pSTAT1_Monos","pSTAT1_NKs","pSTAT1_DCs","pMAPKAPK2_Bcells","pMAPKAPK2_gdT","pMAPKAPK2_CD4T","pMAPKAPK2_CD8T","pMAPKAPK2_Monos","pMAPKAPK2_NKs","pMAPKAPK2_DCs","pSTAT3_Bcells","pSTAT3_gdT","pSTAT3_CD4T","pSTAT3_CD8T","pSTAT3_Monos","pSTAT3_NKs","pSTAT3_DCs","IkBa_Bcells","IkBa_gdT","IkBa_CD4T","IkBa_CD8T","IkBa_Monos","IkBa_NKs","IkBa_DCs","pErk1.2_Bcells","pErk1.2_gdT","pErk1.2_CD4T","pErk1.2_CD8T","pErk1.2_Monos","pErk1.2_NKs","pErk1.2_DCs","pp38_Bcells","pp38_gdT","pp38_CD4T","pp38_CD8T","pp38_Monos","pp38_NKs","pp38_DCs","pS6_Bcells","pS6_gdT","pS6_CD4T","pS6_CD8T","pS6_Monos","pS6_NKs","pS6_DCs","pIRF7_Bcells","pIRF7_gdT","pIRF7_CD4T","pIRF7_CD8T","pIRF7_Monos","pIRF7_NKs","pIRF7_DCs","pSTAT4_Bcells","pSTAT4_gdT","pSTAT4_CD4T","pSTAT4_CD8T","pSTAT4_Monos","pSTAT4_NKs","pSTAT4_DCs"
"pCreb_Bcells",1,0.0901098901098901,0.894505494505494,0.494505494505494,0.0857142857142857,-0.0813186813186813,0.274725274725275,0.0945054945054945,0.103296703296703,0.125274725274725,0.0769230769230769,-0.0725274725274725,0.0021978021978022,0.182417582417582,0.0989010989010989,-0.00659340659340659,0.142857142857143,-0.0769230769230769,-0.182417582417582,-0.0549450549450549,0.0857142857142857,-0.0241758241758242,0.23956043956044,0.204395604395604,0.274725274725275,0.428571428571429,-0.107692307692308,0.432967032967033,0.454945054945055,0.0153846153846154,0.534065934065934,0.134065934065934,0.195604395604396,-0.125274725274725,-0.107692307692308,-0.257142857142857,-0.305494505494505,-0.38021978021978,-0.314285714285714,0.103296703296703,-0.230769230769231,-0.0769230769230769,-0.226373626373626,-0.481318681318681,-0.248351648351648,-0.0725274725274725,-0.582417582417582,-0.107692307692308,-0.0373626373626374,-0.151648351648352,-0.230769230769231,-0.0461538461538462,-0.178021978021978,-0.525274725274725,-0.437362637362637,-0.30989010989011,-0.323076923076923,-0.292307692307692,0.0681318681318681,-0.257142857142857,-0.0461538461538462,-0.257142857142857,-0.336263736263736,0.925274725274725,0.191208791208791,0.841758241758242,0.714285714285714,-0.169230769230769,0.296703296703297,-0.230769230769231,-0.327472527472527,-0.345054945054945,-0.331868131868132,-0.314285714285714,-0.437362637362637,-0.112087912087912,0.257142857142857,-0.415384615384615,-0.503296703296703,-0.371428571428571,-0.49010989010989,-0.674725274725275,-0.283516483516484,-0.156043956043956
"pCreb_gdT",0.0901098901098901,1,0.0725274725274725,0.564835164835165,0.547252747252747,0.854945054945055,0.916483516483517,0.661538461538462,0.652747252747253,0.749450549450549,0.683516483516484,0.828571428571429,0.674725274725275,0.859340659340659,0.551648351648352,0.551648351648352,0.586813186813187,0.608791208791209,0.621978021978022,0.674725274725275,0.718681318681319,0.534065934065934,0.410989010989011,0.41978021978022,0.371428571428571,0.459340659340659,0.617582417582418,0.468131868131868,0.265934065934066,0.815384615384615,0.103296703296703,0.498901098901099,0.56043956043956,0.723076923076923,0.701098901098901,0.397802197802198,0.556043956043956,0.213186813186813,0.498901098901099,0.538461538461538,0.472527472527473,0.613186813186813,0.217582417582418,0.23956043956044,-0.23956043956044,-0.208791208791209,0.169230769230769,0.674725274725275,0.226373626373626,0.0593406593406593,0.367032967032967,-0.0769230769230769,0.173626373626374,0.30989010989011,0.248351648351648,0.428571428571429,0.586813186813187,0.731868131868132,0.534065934065934,0.657142857142857,0.481318681318681,0.476923076923077,0.450549450549451,0.0021978021978022,0.648351648351648,0.0593406593406593,0.432967032967033,0.327472527472527,0.591208791208791,0.468131868131868,0.389010989010989,0.635164835164835,0.463736263736264,0.551648351648352,0.516483516483516,0.56043956043956,0.762637362637363,0.406593406593407,0.454945054945055,0.437362637362637,0.41978021978022,0.353846153846154,0.613186813186813,0.630769230769231
"pCreb_CD4T",0.894505494505494,0.0725274725274725,1,0.630769230769231,0.213186813186813,-0.0637362637362637,0.230769230769231,-0.0461538461538462,-0.0681318681318681,-0.0021978021978022,-0.0813186813186813,-0.147252747252747,-0.134065934065934,0.0813186813186813,-0.0857142857142857,-0.134065934065934,0.010989010989011,-0.221978021978022,-0.30989010989011,-0.2,-0.0505494505494506,-0.204395604395604,0.217582417582418,0.112087912087912,0.213186813186813,0.459340659340659,-0.252747252747253,0.525274725274725,0.432967032967033,-0.0505494505494506,0.63956043956044,0.169230769230769,0.279120879120879,-0.156043956043956,-0.116483516483516,-0.371428571428571,-0.393406593406593,-0.472527472527473,-0.362637362637363,0.0769230769230769,-0.340659340659341,-0.221978021978022,-0.323076923076923,-0.52967032967033,-0.248351648351648,-0.107692307692308,-0.551648351648352,-0.0637362637362637,0.0153846153846154,-0.23956043956044,-0.23956043956044,-0.0373626373626374,-0.191208791208791,-0.494505494505494,-0.498901098901099,-0.389010989010989,-0.406593406593407,-0.323076923076923,0.00659340659340659,-0.323076923076923,0.0461538461538462,-0.406593406593407,-0.446153846153846,0.815384615384615,0.178021978021978,0.903296703296703,0.784615384615385,-0.2,0.283516483516484,-0.151648351648352,-0.410989010989011,-0.393406593406593,-0.362637362637363,-0.415384615384615,-0.428571428571429,-0.226373626373626,0.301098901098901,-0.512087912087912,-0.52967032967033,-0.428571428571429,-0.551648351648352,-0.635164835164835,-0.353846153846154,-0.221978021978022
"pCreb_CD8T",0.494505494505494,0.564835164835165,0.630769230769231,1,0.775824175824176,0.454945054945055,0.665934065934066,0.204395604395604,0.138461538461538,0.292307692307692,0.226373626373626,0.503296703296703,0.204395604395604,0.437362637362637,0.142857142857143,0.125274725274725,0.217582417582418,0.125274725274725,0.12967032967033,0.204395604395604,0.252747252747253,0.274725274725275,0.56043956043956,0.415384615384615,0.525274725274725,0.731868131868132,0.327472527472527,0.705494505494506,0.498901098901099,0.481318681318681,0.608791208791209,0.648351648351648,0.797802197802198,0.393406593406593,0.485714285714286,0.0197802197802198,0.182417582417582,0.0989010989010989,0.30989010989011,0.512087912087912,0.151648351648352,0.235164835164835,0.0857142857142857,-0.0241758241758242,0.0417582417582418,0.191208791208791,-0.0637362637362637,0.327472527472527,0.120879120879121,-0.230769230769231,0.191208791208791,-0.0241758241758242,0.142857142857143,0.0769230769230769,-0.0857142857142857,0.107692307692308,0.147252747252747,0.327472527472527,0.226373626373626,0.208791208791209,0.617582417582418,0.0857142857142857,0.0813186813186813,0.428571428571429,0.384615384615385,0.498901098901099,0.736263736263736,0.178021978021978,0.318681318681319,0.182417582417582,0.186813186813187,0.331868131868132,0.226373626373626,0.279120879120879,0.208791208791209,0.384615384615385,0.692307692307692,-0.032967032967033,0.107692307692308,0.138461538461538,0.0901098901098901,-0.0373626373626374,0.287912087912088,0.27032967032967
"pCreb_Monos",0.0857142857142857,0.547252747252747,0.213186813186813,0.775824175824176,1,0.389010989010989,0.613186813186813,0.151648351648352,0.0593406593406593,0.138461538461538,0.12967032967033,0.503296703296703,0.138461538461538,0.27032967032967,0.0769230769230769,0.134065934065934,0.0945054945054945,0.142857142857143,0.213186813186813,0.178021978021978,0.217582417582418,0.182417582417582,0.283516483516484,0.191208791208791,0.243956043956044,0.393406593406593,0.226373626373626,0.424175824175824,0.0813186813186813,0.358241758241758,0.112087912087912,0.349450549450549,0.740659340659341,0.287912087912088,0.498901098901099,-0.103296703296703,0.221978021978022,0.2,0.30989010989011,0.38021978021978,0.0681318681318681,0.164835164835165,0.0681318681318681,0.213186813186813,0.169230769230769,0.243956043956044,0.23956043956044,0.358241758241758,0.107692307692308,-0.331868131868132,0.195604395604396,-0.178021978021978,0.0241758241758242,0.301098901098901,-0.0285714285714286,0.138461538461538,0.173626373626374,0.450549450549451,0.151648351648352,0.27032967032967,0.762637362637363,0.151648351648352,0.169230769230769,-0.0637362637362637,0.116483516483516,-0.010989010989011,0.257142857142857,0.287912087912088,-0.0857142857142857,0.235164835164835,0.287912087912088,0.516483516483516,0.353846153846154,0.41978021978022,0.481318681318681,0.393406593406593,0.569230769230769,0.0989010989010989,0.274725274725275,0.226373626373626,0.243956043956044,0.323076923076923,0.301098901098901,0.252747252747253
"pCreb_NKs",-0.0813186813186813,0.854945054945055,-0.0637362637362637,0.454945054945055,0.389010989010989,1,0.753846153846154,0.727472527472527,0.718681318681319,0.771428571428571,0.692307692307692,0.850549450549451,0.806593406593407,0.832967032967033,0.635164835164835,0.635164835164835,0.665934065934066,0.696703296703297,0.745054945054945,0.802197802197802,0.771428571428571,0.661538461538462,0.437362637362637,0.52967032967033,0.476923076923077,0.472527472527473,0.784615384615385,0.274725274725275,0.389010989010989,0.92967032967033,0.314285714285714,0.679120879120879,0.551648351648352,0.942857142857143,0.696703296703297,0.665934065934066,0.736263736263736,0.38021978021978,0.70989010989011,0.494505494505494,0.718681318681319,0.657142857142857,0.556043956043956,0.230769230769231,-0.116483516483516,-0.182417582417582,0.340659340659341,0.828571428571429,0.257142857142857,0.221978021978022,0.415384615384615,0.0945054945054945,0.323076923076923,0.454945054945055,0.468131868131868,0.586813186813187,0.745054945054945,0.810989010989011,0.586813186813187,0.753846153846154,0.248351648351648,0.621978021978022,0.534065934065934,-0.0637362637362637,0.643956043956044,0.0373626373626374,0.406593406593407,0.534065934065934,0.714285714285714,0.657142857142857,0.586813186813187,0.683516483516484,0.604395604395604,0.643956043956044,0.595604395604396,0.745054945054945,0.687912087912088,0.582417582417582,0.586813186813187,0.617582417582418,0.569230769230769,0.503296703296703,0.767032967032967,0.753846153846154
"pCreb_DCs",0.274725274725275,0.916483516483517,0.230769230769231,0.665934065934066,0.613186813186813,0.753846153846154,1,0.52967032967033,0.516483516483516,0.564835164835165,0.49010989010989,0.78021978021978,0.516483516483516,0.775824175824176,0.49010989010989,0.437362637362637,0.432967032967033,0.424175824175824,0.516483516483516,0.534065934065934,0.63956043956044,0.652747252747253,0.468131868131868,0.551648351648352,0.459340659340659,0.468131868131868,0.578021978021978,0.573626373626374,0.279120879120879,0.687912087912088,0.156043956043956,0.459340659340659,0.6,0.604395604395604,0.758241758241758,0.349450549450549,0.516483516483516,0.283516483516484,0.468131868131868,0.578021978021978,0.441758241758242,0.643956043956044,0.279120879120879,0.345054945054945,-0.0197802197802198,-0.0813186813186813,0.208791208791209,0.573626373626374,0.169230769230769,0.12967032967033,0.481318681318681,0.0681318681318681,0.292307692307692,0.389010989010989,0.243956043956044,0.494505494505494,0.538461538461538,0.63956043956044,0.463736263736264,0.52967032967033,0.56043956043956,0.441758241758242,0.516483516483516,0.142857142857143,0.494505494505494,0.103296703296703,0.485714285714286,0.353846153846154,0.472527472527473,0.437362637362637,0.485714285714286,0.661538461538462,0.534065934065934,0.617582417582418,0.578021978021978,0.613186813186813,0.859340659340659,0.367032967032967,0.428571428571429,0.476923076923077,0.428571428571429,0.318681318681319,0.604395604395604,0.630769230769231
"pSTAT5_Bcells",0.0945054945054945,0.661538461538462,-0.0461538461538462,0.204395604395604,0.151648351648352,0.727472527472527,0.52967032967033,1,0.986813186813187,0.942857142857143,0.934065934065934,0.635164835164835,0.969230769230769,0.868131868131868,0.876923076923077,0.934065934065934,0.956043956043956,0.934065934065934,0.89010989010989,0.92967032967033,0.96043956043956,0.494505494505494,0.367032967032967,0.432967032967033,0.432967032967033,0.349450549450549,0.604395604395604,0.23956043956044,0.454945054945055,0.745054945054945,0.248351648351648,0.472527472527473,0.151648351648352,0.784615384615385,0.38021978021978,0.6,0.582417582417582,-0.0593406593406593,0.410989010989011,0.301098901098901,0.56043956043956,0.525274725274725,0.340659340659341,-0.103296703296703,-0.367032967032967,-0.235164835164835,0.151648351648352,0.758241758241758,0.437362637362637,0.261538461538461,0.125274725274725,0.032967032967033,0.120879120879121,0.178021978021978,0.389010989010989,0.384615384615385,0.652747252747253,0.687912087912088,0.789010989010989,0.793406593406593,0.0373626373626374,0.67032967032967,0.384615384615385,0.0153846153846154,0.463736263736264,0.16043956043956,0.331868131868132,0.0813186813186813,0.604395604395604,0.305494505494505,0.265934065934066,0.441758241758242,0.402197802197802,0.393406593406593,0.217582417582418,0.586813186813187,0.468131868131868,0.608791208791209,0.393406593406593,0.410989010989011,0.362637362637363,0.296703296703297,0.503296703296703,0.723076923076923
"pSTAT5_gdT",0.103296703296703,0.652747252747253,-0.0681318681318681,0.138461538461538,0.0593406593406593,0.718681318681319,0.516483516483516,0.986813186813187,1,0.951648351648352,0.938461538461538,0.608791208791209,0.964835164835165,0.868131868131868,0.876923076923077,0.916483516483517,0.947252747252747,0.920879120879121,0.876923076923077,0.925274725274725,0.951648351648352,0.516483516483516,0.327472527472527,0.415384615384615,0.389010989010989,0.314285714285714,0.6,0.173626373626374,0.415384615384615,0.753846153846154,0.208791208791209,0.428571428571429,0.134065934065934,0.775824175824176,0.353846153846154,0.608791208791209,0.564835164835165,-0.0417582417582418,0.375824175824176,0.274725274725275,0.578021978021978,0.520879120879121,0.314285714285714,-0.0945054945054945,-0.424175824175824,-0.314285714285714,0.0901098901098901,0.70989010989011,0.353846153846154,0.292307692307692,0.112087912087912,0.0241758241758242,0.112087912087912,0.142857142857143,0.389010989010989,0.38021978021978,0.643956043956044,0.652747252747253,0.771428571428571,0.775824175824176,-0.0153846153846154,0.661538461538462,0.397802197802198,0.0373626373626374,0.503296703296703,0.16043956043956,0.340659340659341,0.107692307692308,0.652747252747253,0.301098901098901,0.235164835164835,0.406593406593407,0.362637362637363,0.362637362637363,0.191208791208791,0.569230769230769,0.41978021978022,0.586813186813187,0.367032967032967,0.397802197802198,0.340659340659341,0.235164835164835,0.472527472527473,0.696703296703297
"pSTAT5_CD4T",0.125274725274725,0.749450549450549,-0.0021978021978022,0.292307692307692,0.138461538461538,0.771428571428571,0.564835164835165,0.942857142857143,0.951648351648352,1,0.964835164835165,0.692307692307692,0.942857142857143,0.920879120879121,0.797802197802198,0.832967032967033,0.925274725274725,0.89010989010989,0.802197802197802,0.898901098901099,0.89010989010989,0.472527472527473,0.397802197802198,0.393406593406593,0.424175824175824,0.459340659340659,0.648351648351648,0.305494505494505,0.481318681318681,0.846153846153846,0.296703296703297,0.582417582417582,0.265934065934066,0.81978021978022,0.402197802197802,0.573626373626374,0.538461538461538,-0.00659340659340659,0.432967032967033,0.367032967032967,0.551648351648352,0.520879120879121,0.265934065934066,-0.120879120879121,-0.472527472527473,-0.261538461538461,0.032967032967033,0.696703296703297,0.367032967032967,0.151648351648352,0.0769230769230769,-0.0901098901098901,0.0681318681318681,0.0725274725274725,0.292307692307692,0.314285714285714,0.608791208791209,0.648351648351648,0.692307692307692,0.745054945054945,0.0637362637362637,0.582417582417582,0.323076923076923,0.0989010989010989,0.643956043956044,0.226373626373626,0.450549450549451,0.0989010989010989,0.723076923076923,0.296703296703297,0.2,0.397802197802198,0.292307692307692,0.345054945054945,0.147252747252747,0.534065934065934,0.468131868131868,0.498901098901099,0.331868131868132,0.336263736263736,0.301098901098901,0.173626373626374,0.494505494505494,0.643956043956044
