"","pCreb_Bcells","pCreb_gdT","pCreb_CD4T","pCreb_CD8T","pCreb_Monos","pCreb_NKs","pCreb_DCs","pSTAT5_Bcells","pSTAT5_gdT","pSTAT5_CD4T","pSTAT5_CD8T","pSTAT5_Monos","pSTAT5_NKs","pSTAT5_DCs","pAkt_Bcells","pAkt_gdT","pAkt_CD4T","pAkt_CD8T","pAkt_Monos","pAkt_NKs","pAkt_DCs","pSTAT1_Bcells","pSTAT1_gdT","pSTAT1_CD4T","pSTAT1_CD8T","pSTAT1_Monos","pSTAT1_NKs","pSTAT1_DCs","pMAPKAPK2_Bcells","pMAPKAPK2_gdT","pMAPKAPK2_CD4T","pMAPKAPK2_CD8T","pMAPKAPK2_Monos","pMAPKAPK2_NKs","pMAPKAPK2_DCs","pSTAT3_Bcells","pSTAT3_gdT","pSTAT3_CD4T","pSTAT3_CD8T","pSTAT3_Monos","pSTAT3_NKs","pSTAT3_DCs","IkBa_Bcells","IkBa_gdT","IkBa_CD4T","IkBa_CD8T","IkBa_Monos","IkBa_NKs","IkBa_DCs","pErk1.2_Bcells","pErk1.2_gdT","pErk1.2_CD4T","pErk1.2_CD8T","pErk1.2_Monos","pErk1.2_NKs","pErk1.2_DCs","pp38_Bcells","pp38_gdT","pp38_CD4T","pp38_CD8T","pp38_Monos","pp38_NKs","pp38_DCs","pS6_Bcells","pS6_gdT","pS6_CD4T","pS6_CD8T","pS6_Monos","pS6_NKs","pS6_DCs","pIRF7_Bcells","pIRF7_gdT","pIRF7_CD4T","pIRF7_CD8T","pIRF7_Monos","pIRF7_NKs","pIRF7_DCs","pSTAT4_Bcells","pSTAT4_gdT","pSTAT4_CD4T","pSTAT4_CD8T","pSTAT4_Monos","pSTAT4_NKs","pSTAT4_DCs"
"pCreb_Bcells",1,0.353846153846154,0.762637362637363,0.52967032967033,0.613186813186813,0.2,0.358241758241758,0.0725274725274725,-0.0549450549450549,-0.0725274725274725,-0.0945054945054945,0.0505494505494506,0.010989010989011,0.0241758241758242,-0.0989010989010989,-0.2,-0.186813186813187,-0.2,-0.0901098901098901,-0.0945054945054945,0.0153846153846154,0.107692307692308,0.208791208791209,0.138461538461538,0.120879120879121,0.16043956043956,0.169230769230769,0.279120879120879,0.573626373626374,0.0637362637362637,0.261538461538461,0.195604395604396,0.384615384615385,0.116483516483516,0.0681318681318681,-0.38021978021978,-0.52967032967033,0.010989010989011,-0.648351648351648,0.16043956043956,-0.314285714285714,-0.0725274725274725,0.0813186813186813,0.252747252747253,0.142857142857143,-0.0461538461538462,-0.134065934065934,0.2,0.0505494505494506,0.230769230769231,0.142857142857143,0.287912087912088,0.107692307692308,-0.0549450549450549,-0.204395604395604,-0.173626373626374,-0.0285714285714286,0.010989010989011,0.00659340659340659,-0.0637362637362637,0.208791208791209,-0.0769230769230769,-0.0285714285714286,0.881318681318681,0.208791208791209,0.705494505494506,0.613186813186813,0.120879120879121,0.261538461538461,-0.0153846153846154,0.173626373626374,0.221978021978022,0.0637362637362637,0.314285714285714,-0.010989010989011,0.305494505494505,0.16043956043956,-0.00659340659340659,-0.125274725274725,-0.265934065934066,-0.0197802197802198,-0.23956043956044,-0.0241758241758242,0.0593406593406593
"pCreb_gdT",0.353846153846154,1,0.331868131868132,0.630769230769231,0.692307692307692,0.885714285714286,0.89010989010989,0.582417582417582,0.485714285714286,0.551648351648352,0.573626373626374,0.512087912087912,0.692307692307692,0.67032967032967,0.340659340659341,0.397802197802198,0.415384615384615,0.415384615384615,0.476923076923077,0.520879120879121,0.595604395604396,0.235164835164835,0.432967032967033,0.27032967032967,0.446153846153846,0.353846153846154,0.507692307692308,0.323076923076923,0.551648351648352,0.789010989010989,0.503296703296703,0.665934065934066,0.52967032967033,0.762637362637363,0.714285714285714,0.226373626373626,0.248351648351648,-0.010989010989011,0.12967032967033,0.481318681318681,0.336263736263736,0.476923076923077,0.762637362637363,0.832967032967033,0.49010989010989,0.498901098901099,0.582417582417582,0.556043956043956,0.481318681318681,0.125274725274725,0.353846153846154,0.0021978021978022,0.151648351648352,0.318681318681319,0.23956043956044,0.292307692307692,0.6,0.648351648351648,0.367032967032967,0.520879120879121,0.27032967032967,0.578021978021978,0.525274725274725,0.384615384615385,0.802197802197802,0.30989010989011,0.551648351648352,0.556043956043956,0.723076923076923,0.784615384615385,0.731868131868132,0.815384615384615,0.534065934065934,0.753846153846154,0.635164835164835,0.815384615384615,0.806593406593407,0.454945054945055,0.595604395604396,0.336263736263736,0.6,0.56043956043956,0.569230769230769,0.556043956043956
"pCreb_CD4T",0.762637362637363,0.331868131868132,1,0.665934065934066,0.327472527472527,0.204395604395604,0.221978021978022,-0.0813186813186813,-0.16043956043956,-0.125274725274725,-0.186813186813187,-0.12967032967033,-0.0945054945054945,0.0197802197802198,-0.301098901098901,-0.230769230769231,-0.243956043956044,-0.274725274725275,-0.27032967032967,-0.204395604395604,-0.0813186813186813,0.274725274725275,0.450549450549451,0.367032967032967,0.371428571428571,0.415384615384615,0.23956043956044,0.591208791208791,0.283516483516484,0.0681318681318681,0.437362637362637,0.327472527472527,0.125274725274725,0.0417582417582418,-0.0373626373626374,-0.512087912087912,-0.586813186813187,-0.0417582417582418,-0.569230769230769,-0.112087912087912,-0.402197802197802,-0.327472527472527,0.0813186813186813,0.226373626373626,0.0901098901098901,0.0989010989010989,-0.134065934065934,-0.0373626373626374,0.305494505494505,-0.173626373626374,-0.107692307692308,0.0725274725274725,-0.0461538461538462,-0.30989010989011,-0.441758241758242,-0.375824175824176,-0.182417582417582,-0.147252747252747,-0.164835164835165,-0.221978021978022,-0.138461538461538,-0.204395604395604,-0.283516483516484,0.758241758241758,0.279120879120879,0.903296703296703,0.789010989010989,-0.178021978021978,0.367032967032967,0.0021978021978022,0.010989010989011,0.12967032967033,-0.0505494505494506,0.191208791208791,-0.186813186813187,0.226373626373626,0.424175824175824,-0.314285714285714,-0.23956043956044,-0.454945054945055,-0.142857142857143,-0.402197802197802,-0.0505494505494506,-0.169230769230769
"pCreb_CD8T",0.52967032967033,0.630769230769231,0.665934065934066,1,0.762637362637363,0.542857142857143,0.657142857142857,0.173626373626374,0.0549450549450549,0.0505494505494506,0.103296703296703,0.208791208791209,0.261538461538461,0.248351648351648,-0.116483516483516,-0.0197802197802198,0.00659340659340659,0.0285714285714286,0.0769230769230769,0.0989010989010989,0.147252747252747,0.349450549450549,0.516483516483516,0.410989010989011,0.556043956043956,0.516483516483516,0.389010989010989,0.410989010989011,0.428571428571429,0.437362637362637,0.613186813186813,0.692307692307692,0.604395604395604,0.428571428571429,0.485714285714286,-0.103296703296703,-0.164835164835165,-0.032967032967033,-0.0681318681318681,0.191208791208791,-0.032967032967033,0.151648351648352,0.235164835164835,0.503296703296703,0.389010989010989,0.52967032967033,0.274725274725275,0.353846153846154,0.243956043956044,-0.0153846153846154,0.2,0.147252747252747,0.226373626373626,0.112087912087912,-0.0461538461538462,0.0549450549450549,0.147252747252747,0.30989010989011,0.107692307692308,0.204395604395604,0.283516483516484,0.151648351648352,0.265934065934066,0.740659340659341,0.450549450549451,0.525274725274725,0.736263736263736,0.30989010989011,0.463736263736264,0.432967032967033,0.52967032967033,0.586813186813187,0.446153846153846,0.696703296703297,0.406593406593407,0.657142857142857,0.512087912087912,0.164835164835165,0.252747252747253,0.0593406593406593,0.358241758241758,0.208791208791209,0.38021978021978,0.287912087912088
"pCreb_Monos",0.613186813186813,0.692307692307692,0.327472527472527,0.762637362637363,1,0.578021978021978,0.797802197802198,0.41978021978022,0.235164835164835,0.191208791208791,0.323076923076923,0.476923076923077,0.432967032967033,0.340659340659341,0.12967032967033,0.0901098901098901,0.12967032967033,0.182417582417582,0.336263736263736,0.279120879120879,0.30989010989011,0.261538461538461,0.367032967032967,0.243956043956044,0.362637362637363,0.261538461538461,0.353846153846154,0.0725274725274725,0.63956043956044,0.49010989010989,0.349450549450549,0.525274725274725,0.854945054945055,0.512087912087912,0.613186813186813,0.0505494505494506,-0.0021978021978022,0.0725274725274725,-0.0241758241758242,0.389010989010989,0.0813186813186813,0.393406593406593,0.301098901098901,0.648351648351648,0.547252747252747,0.52967032967033,0.38021978021978,0.595604395604396,0.0593406593406593,0.331868131868132,0.454945054945055,0.252747252747253,0.358241758241758,0.393406593406593,0.204395604395604,0.287912087912088,0.397802197802198,0.56043956043956,0.30989010989011,0.446153846153846,0.63956043956044,0.353846153846154,0.582417582417582,0.674725274725275,0.38021978021978,0.186813186813187,0.406593406593407,0.70989010989011,0.296703296703297,0.494505494505494,0.727472527472527,0.740659340659341,0.569230769230769,0.828571428571429,0.67032967032967,0.767032967032967,0.296703296703297,0.476923076923077,0.441758241758242,0.287912087912088,0.542857142857143,0.450549450549451,0.454945054945055,0.52967032967033
"pCreb_NKs",0.2,0.885714285714286,0.204395604395604,0.542857142857143,0.578021978021978,1,0.903296703296703,0.679120879120879,0.643956043956044,0.661538461538462,0.679120879120879,0.727472527472527,0.859340659340659,0.784615384615385,0.459340659340659,0.551648351648352,0.573626373626374,0.617582417582418,0.665934065934066,0.696703296703297,0.731868131868132,0.213186813186813,0.415384615384615,0.30989010989011,0.507692307692308,0.432967032967033,0.613186813186813,0.178021978021978,0.687912087912088,0.92967032967033,0.692307692307692,0.832967032967033,0.498901098901099,0.947252747252747,0.802197802197802,0.371428571428571,0.362637362637363,-0.12967032967033,0.208791208791209,0.485714285714286,0.520879120879121,0.525274725274725,0.679120879120879,0.661538461538462,0.406593406593407,0.402197802197802,0.591208791208791,0.731868131868132,0.367032967032967,0.0945054945054945,0.274725274725275,-0.0373626373626374,0.156043956043956,0.265934065934066,0.371428571428571,0.30989010989011,0.657142857142857,0.727472527472527,0.463736263736264,0.617582417582418,0.120879120879121,0.758241758241758,0.604395604395604,0.283516483516484,0.797802197802198,0.265934065934066,0.52967032967033,0.648351648351648,0.78021978021978,0.789010989010989,0.753846153846154,0.872527472527473,0.564835164835165,0.797802197802198,0.679120879120879,0.903296703296703,0.723076923076923,0.608791208791209,0.652747252747253,0.38021978021978,0.626373626373626,0.652747252747253,0.643956043956044,0.657142857142857
"pCreb_DCs",0.358241758241758,0.89010989010989,0.221978021978022,0.657142857142857,0.797802197802198,0.903296703296703,1,0.586813186813187,0.485714285714286,0.468131868131868,0.542857142857143,0.626373626373626,0.731868131868132,0.652747252747253,0.367032967032967,0.384615384615385,0.415384615384615,0.459340659340659,0.56043956043956,0.564835164835165,0.595604395604396,0.138461538461538,0.375824175824176,0.305494505494505,0.428571428571429,0.30989010989011,0.503296703296703,0.0725274725274725,0.692307692307692,0.854945054945055,0.643956043956044,0.762637362637363,0.705494505494506,0.868131868131868,0.876923076923077,0.283516483516484,0.279120879120879,0.00659340659340659,0.182417582417582,0.494505494505494,0.424175824175824,0.613186813186813,0.608791208791209,0.753846153846154,0.591208791208791,0.503296703296703,0.503296703296703,0.767032967032967,0.217582417582418,0.274725274725275,0.472527472527473,0.173626373626374,0.340659340659341,0.446153846153846,0.450549450549451,0.454945054945055,0.6,0.758241758241758,0.481318681318681,0.648351648351648,0.375824175824176,0.701098901098901,0.731868131868132,0.432967032967033,0.679120879120879,0.23956043956044,0.507692307692308,0.771428571428571,0.621978021978022,0.824175824175824,0.863736263736264,0.916483516483517,0.701098901098901,0.916483516483517,0.806593406593407,0.934065934065934,0.595604395604396,0.630769230769231,0.679120879120879,0.454945054945055,0.674725274725275,0.687912087912088,0.648351648351648,0.731868131868132
"pSTAT5_Bcells",0.0725274725274725,0.582417582417582,-0.0813186813186813,0.173626373626374,0.41978021978022,0.679120879120879,0.586813186813187,1,0.938461538461538,0.898901098901099,0.859340659340659,0.832967032967033,0.885714285714286,0.894505494505494,0.850549450549451,0.903296703296703,0.894505494505494,0.898901098901099,0.947252747252747,0.947252747252747,0.942857142857143,0.384615384615385,0.327472527472527,0.182417582417582,0.30989010989011,0.16043956043956,0.621978021978022,0.125274725274725,0.621978021978022,0.714285714285714,0.323076923076923,0.481318681318681,0.494505494505494,0.683516483516484,0.367032967032967,0.648351648351648,0.626373626373626,-0.362637362637363,0.142857142857143,0.621978021978022,0.714285714285714,0.657142857142857,0.323076923076923,0.336263736263736,0.12967032967033,0.0285714285714286,0.415384615384615,0.745054945054945,0.375824175824176,0.481318681318681,0.432967032967033,0.164835164835165,0.38021978021978,0.586813186813187,0.613186813186813,0.591208791208791,0.863736263736264,0.854945054945055,0.745054945054945,0.841758241758242,0.476923076923077,0.872527472527473,0.731868131868132,0.0989010989010989,0.41978021978022,-0.010989010989011,0.103296703296703,0.582417582417582,0.397802197802198,0.375824175824176,0.595604395604396,0.6,0.446153846153846,0.494505494505494,0.52967032967033,0.630769230769231,0.472527472527473,0.802197802197802,0.665934065934066,0.617582417582418,0.701098901098901,0.564835164835165,0.63956043956044,0.784615384615385
"pSTAT5_gdT",-0.0549450549450549,0.485714285714286,-0.16043956043956,0.0549450549450549,0.235164835164835,0.643956043956044,0.485714285714286,0.938461538461538,1,0.969230769230769,0.907692307692308,0.762637362637363,0.912087912087912,0.898901098901099,0.806593406593407,0.907692307692308,0.92967032967033,0.92967032967033,0.903296703296703,0.947252747252747,0.934065934065934,0.345054945054945,0.292307692307692,0.12967032967033,0.305494505494505,0.23956043956044,0.643956043956044,0.103296703296703,0.516483516483516,0.718681318681319,0.345054945054945,0.472527472527473,0.424175824175824,0.67032967032967,0.296703296703297,0.674725274725275,0.626373626373626,-0.472527472527473,0.173626373626374,0.534065934065934,0.771428571428571,0.6,0.230769230769231,0.147252747252747,-0.0461538461538462,-0.0857142857142857,0.235164835164835,0.643956043956044,0.358241758241758,0.397802197802198,0.305494505494505,0.120879120879121,0.27032967032967,0.498901098901099,0.617582417582418,0.547252747252747,0.727472527472527,0.806593406593407,0.753846153846154,0.832967032967033,0.375824175824176,0.868131868131868,0.665934065934066,0.0285714285714286,0.512087912087912,-0.0021978021978022,0.116483516483516,0.512087912087912,0.512087912087912,0.362637362637363,0.503296703296703,0.525274725274725,0.362637362637363,0.375824175824176,0.450549450549451,0.56043956043956,0.463736263736264,0.731868131868132,0.6,0.551648351648352,0.591208791208791,0.450549450549451,0.578021978021978,0.749450549450549
"pSTAT5_CD4T",-0.0725274725274725,0.551648351648352,-0.125274725274725,0.0505494505494506,0.191208791208791,0.661538461538462,0.468131868131868,0.898901098901099,0.969230769230769,1,0.934065934065934,0.70989010989011,0.903296703296703,0.912087912087912,0.762637362637363,0.894505494505494,0.916483516483517,0.907692307692308,0.854945054945055,0.907692307692308,0.92967032967033,0.340659340659341,0.323076923076923,0.142857142857143,0.353846153846154,0.305494505494505,0.657142857142857,0.257142857142857,0.485714285714286,0.731868131868132,0.349450549450549,0.49010989010989,0.367032967032967,0.674725274725275,0.318681318681319,0.621978021978022,0.595604395604396,-0.437362637362637,0.156043956043956,0.547252747252747,0.701098901098901,0.56043956043956,0.375824175824176,0.213186813186813,-0.0549450549450549,-0.0549450549450549,0.30989010989011,0.551648351648352,0.52967032967033,0.265934065934066,0.221978021978022,0.0285714285714286,0.147252747252747,0.389010989010989,0.498901098901099,0.446153846153846,0.696703296703297,0.762637362637363,0.679120879120879,0.78021978021978,0.279120879120879,0.815384615384615,0.564835164835165,0.010989010989011,0.626373626373626,0.0417582417582418,0.186813186813187,0.437362637362637,0.613186813186813,0.402197802197802,0.454945054945055,0.534065934065934,0.30989010989011,0.358241758241758,0.402197802197802,0.538461538461538,0.604395604395604,0.635164835164835,0.586813186813187,0.481318681318681,0.578021978021978,0.432967032967033,0.551648351648352,0.687912087912088
